name
Bacharelado em informática
Design e programação de jogos
Licenciatura em computação
Tecnologia em informática
Análise e desenvolvimento de sistemas
Tecnologia em bancos de dados
Ciência da computação
Ciência da informação
Engenharia de computação
Engenharia de software
Engenharia em sistemas digitais
Tecnologia em processamento de dados
Sistemas de informação
Matemática computacional
Biologia computacional
Física computacional
Análise de sistemas
Engenharia de sistemas
Tecnologia em desenvolvimento de software
Tecnologia em análise e desenvolvimento de sistemas
Tecnologia em desenvolvimento de sistemas para internet
Tecnologia em gestão de sistemas de informação
Tecnologia em gestão da tecnologia da informação
Tecnologia em redes de computadores
Tecnologia em telemática
Tecnologia em segurança da informação
Informática para gestão de negócios
Web Design
Outros
