name
Developer Back-End
Developer Front-End
Developer Full-Stack
DevOps
Tester
Suport
Porogrammer
System Analyst
Software Engineer
Maintenance Programmer
Technical Lead
Coach
Architect / Planner Services
Project leader
Service Level Manager
Capacity Planning Manager
Availability Manager
It Financial Manager
Configuration manager
Change Manager
Help-desc Manager
Problem and Incident Manager
Network Manager
Web Site Manager
DBA Database Manager
Chief Information Officer (CIO)
Data Scientist
Gerente de P&D
