name
Java
Python
C
C++
.NET
C#
ASP
PHP
COBOL
Ruby
Scala
Javascript
CSS
Perl
Objective-C
Shell
R
Haskell
Matlab
Go
Visual Basic
Clojure
Groovy
NodeJs
Jquery
AngularJs
ReactJS
NoSql
Sql
ElasticSearch
Cassandra
MongoDB
HBase
Aerospike
Hadoop
Solr
Spark
HTML
Redis
GitHub
Docker
Jenkins
Vangrant
Ansible
Puppet
Chef
AWS
RabbitMQ
Unix
Apache
Tomcat
Uml
JSP
Struts
JSF
Hibernate
Django
Flask
Tornado
Rails
Android
JBoss
JPA
PhotoShop
CorelDraw
Fireworks
Wordpress
Adobe
Ilustrator
Delphi
Grails
Scrum
Business Intelligence
PL/SQL
